short_name,nationality_name,overall,potential,value_eur,international_reputation,pace,shooting,passing,defending,physic,player_positions
A. Laporte,France,87,90,56500000.0,2,64.0,50.0,71.0,88.0,81.0,CB
J. Vardy,England,87,87,51000000.0,3,86.0,85.0,68.0,56.0,75.0,ST
Fabinho,Brazil,87,89,88500000.0,3,69.0,69.0,79.0,86.0,83.0,"CDM, CB"
T. Alderweireld,Belgium,87,87,39000000.0,3,64.0,57.0,73.0,89.0,79.0,CB
Parejo,Spain,87,87,46500000.0,2,41.0,82.0,89.0,71.0,70.0,CM
A. Rüdiger,Germany,87,88,73500000.0,2,82.0,53.0,71.0,86.0,85.0,CB
Cesc Fàbregas,Spain,87,87,43500000.0,4,63.0,78.0,90.0,64.0,65.0,"CM, CAM"
S. Milinković-Savić,Serbia,86,87,77500000.0,3,68.0,80.0,82.0,79.0,86.0,CM
T. Werner,Germany,86,89,57500000.0,3,92.0,85.0,69.0,35.0,71.0,ST
C. Lenglet,France,86,90,52000000.0,2,75.0,45.0,68.0,86.0,81.0,CB
L. Martínez,Argentina,86,90,98500000.0,3,83.0,83.0,72.0,48.0,84.0,ST
M. Škriniar,Slovakia,86,87,68500000.0,3,78.0,41.0,57.0,88.0,86.0,CB
C. Nkunku,France,86,89,94000000.0,3,88.0,81.0,83.0,62.0,66.0,"CF, CAM, ST"
Vinícius Jr.,Brazil,86,92,109000000.0,2,95.0,79.0,74.0,29.0,67.0,LW
R. Varane,France,86,88,68500000.0,3,82.0,49.0,64.0,87.0,82.0,CB
S. Gnabry,Germany,86,87,81000000.0,4,83.0,84.0,80.0,43.0,70.0,"RM, LM, RW"
Gerard Moreno,Spain,86,86,68000000.0,2,79.0,86.0,77.0,46.0,73.0,"ST, RM, RW"
L. Sané,Germany,86,91,59500000.0,2,94.0,81.0,79.0,38.0,69.0,LW
A. Gómez,Argentina,86,86,39000000.0,3,89.0,79.0,82.0,39.0,55.0,"CAM, CF, ST"
M. Pjanić,Bosnia and Herzegovina,86,86,42500000.0,3,68.0,68.0,87.0,75.0,68.0,"CM, CDM"
Alex Sandro,Brazil,86,86,36500000.0,3,85.0,65.0,77.0,82.0,83.0,"LB, LM"
H. Ziyech,Morocco,86,87,52000000.0,3,80.0,76.0,87.0,50.0,66.0,"CAM, RW"
J. Henderson,England,86,86,57000000.0,2,67.0,74.0,84.0,81.0,82.0,"CDM, CM"
Carvajal,Spain,86,86,61500000.0,3,80.0,54.0,78.0,82.0,80.0,RB
Marcos Llorente,Spain,86,89,88000000.0,3,88.0,80.0,81.0,78.0,82.0,"CM, RM, ST"
Filipe Luís,Brazil,86,86,29000000.0,3,81.0,62.0,78.0,83.0,80.0,LB
Sokratis,Greece,86,86,34500000.0,3,76.0,52.0,55.0,86.0,83.0,CB
R. Nainggolan,Belgium,86,86,42500000.0,3,78.0,80.0,78.0,81.0,83.0,"CM, CAM"
I. Perišić,Croatia,86,86,45000000.0,3,86.0,81.0,79.0,42.0,76.0,"LM, CAM"
Azpilicueta,Spain,86,88,43500000.0,3,78.0,55.0,77.0,87.0,79.0,CB
David Luiz,Brazil,86,86,33000000.0,4,70.0,64.0,74.0,84.0,81.0,CB
K. Coman,France,86,89,93000000.0,4,93.0,76.0,79.0,30.0,61.0,"LM, RM, LW"
Miranda,Brazil,86,86,25500000.0,3,72.0,49.0,56.0,89.0,77.0,CB
M. Hamšik,Slovakia,86,86,37500000.0,3,76.0,79.0,83.0,67.0,71.0,CM
C. Marchisio,Italy,86,86,35000000.0,3,79.0,73.0,83.0,76.0,75.0,"CM, CDM"
H. Mkhitaryan,Armenia,86,86,39000000.0,3,86.0,79.0,81.0,55.0,70.0,"RM, LM, CAM"
A. Barzagli,Italy,86,86,6500000.0,3,75.0,37.0,56.0,89.0,80.0,CB
Santi Cazorla,Spain,86,86,33500000.0,3,70.0,78.0,85.0,60.0,64.0,"CAM, CM, CDM"
M. Benatia,Morocco,86,86,30000000.0,3,71.0,45.0,54.0,87.0,84.0,CB
Diego Costa,Spain,86,86,41000000.0,4,77.0,84.0,65.0,40.0,89.0,ST
Javi Martínez,Spain,86,86,36000000.0,3,50.0,60.0,69.0,86.0,80.0,"CB, CDM"
Douglas Costa,Brazil,86,86,46500000.0,3,95.0,75.0,81.0,43.0,65.0,"LM, RW, LW"
N. Otamendi,Argentina,86,86,33000000.0,3,60.0,57.0,63.0,86.0,80.0,CB
R. Mahrez,Algeria,86,86,65500000.0,3,81.0,83.0,81.0,38.0,60.0,"RW, RM"
V. Kompany,Belgium,86,86,31500000.0,4,73.0,56.0,69.0,87.0,81.0,CB
Xavi,Spain,86,86,15500000.0,4,66.0,72.0,91.0,60.0,58.0,CM
Y. Touré,Côte d'Ivoire,86,86,28500000.0,4,76.0,82.0,81.0,73.0,90.0,"CM, CDM"
W. Rooney,England,86,86,40000000.0,4,76.0,86.0,81.0,44.0,87.0,"ST, CF, CAM"
M. Götze,Germany,86,91,35000000.0,3,78.0,76.0,82.0,35.0,63.0,"CAM, CF, CM, RM"
Koke,Spain,86,86,45500000.0,3,68.0,75.0,86.0,75.0,79.0,"CM, RM, LM"
A. Lacazette,France,86,86,46000000.0,3,82.0,85.0,76.0,43.0,76.0,ST
M. Brozović,Croatia,86,86,58000000.0,3,69.0,74.0,81.0,81.0,78.0,"CDM, CM"
N. Barella,Italy,86,89,89500000.0,3,79.0,76.0,83.0,77.0,81.0,CM
M. Depay,Netherlands,86,86,73500000.0,3,83.0,84.0,82.0,30.0,79.0,"CF, LW, CAM"
Naldo,Brazil,86,86,10500000.0,3,63.0,69.0,64.0,87.0,74.0,CB
D. Payet,France,86,86,36000000.0,3,77.0,78.0,87.0,42.0,70.0,"LM, CAM"
B. Matuidi,France,86,86,29500000.0,3,79.0,67.0,78.0,83.0,84.0,"CDM, CM"
Javi Martinez,Spain,86,86,36000000.0,3,50.0,60.0,69.0,86.0,80.0,"CB, CDM"
C. Tévez,Argentina,86,86,34500000.0,3,87.0,88.0,76.0,45.0,84.0,ST
N. Matić,Serbia,86,86,34500000.0,3,56.0,71.0,79.0,83.0,83.0,"CDM, CM"
J. Bellingham,England,85,91,81500000.0,2,72.0,75.0,79.0,78.0,80.0,CM
Pedri,Spain,85,92,104500000.0,2,79.0,67.0,81.0,68.0,74.0,CM
F. Valverde,Uruguay,85,90,81000000.0,1,88.0,79.0,82.0,78.0,82.0,"CM, RW"
P. Foden,England,85,92,109500000.0,3,82.0,78.0,83.0,57.0,60.0,"LW, CF, CAM"
M. de Ligt,Netherlands,85,89,71000000.0,3,70.0,59.0,61.0,84.0,87.0,CB
T. Hernández,France,85,90,76000000.0,3,93.0,72.0,76.0,78.0,83.0,LB
K. Walker,England,85,85,37500000.0,3,91.0,63.0,77.0,80.0,82.0,RB
Y. Tielemans,Belgium,85,87,69500000.0,2,63.0,80.0,86.0,72.0,72.0,"CM, CDM"
Iago Aspas,Spain,85,85,34500000.0,2,77.0,84.0,77.0,35.0,64.0,"ST, RW"
Arthur,Brazil,85,90,50500000.0,2,68.0,73.0,82.0,75.0,71.0,CM
S. de Vrij,Netherlands,85,86,39000000.0,3,66.0,41.0,62.0,86.0,75.0,CB
Luis Alberto,Spain,85,86,45000000.0,2,74.0,76.0,86.0,54.0,59.0,"CAM, CM, CF"
Saúl,Spain,85,89,49500000.0,3,69.0,78.0,79.0,78.0,79.0,"CM, LM, LB"
İ. Gündoğan,Germany,85,86,44500000.0,3,70.0,74.0,83.0,64.0,71.0,"CM, CDM"
Pizzi,Portugal,85,85,37500000.0,3,77.0,79.0,84.0,65.0,68.0,"RM, CM"
Paulinho,Brazil,85,85,35500000.0,3,72.0,82.0,78.0,80.0,85.0,"CM, CAM, CDM"
N. Fekir,France,85,87,47000000.0,3,81.0,82.0,81.0,38.0,80.0,"CAM, RM, ST"
A. Witsel,Belgium,85,85,31500000.0,3,69.0,73.0,81.0,82.0,82.0,"CDM, CM"
N. Gaitán,Argentina,85,85,32000000.0,3,82.0,74.0,83.0,39.0,58.0,LM
L. Koscielny,France,85,85,24000000.0,3,80.0,40.0,62.0,85.0,78.0,CB
Juan Mata,Spain,85,85,33000000.0,3,68.0,76.0,84.0,32.0,54.0,"CAM, RM, CM"
Willian,Brazil,85,85,33000000.0,3,89.0,74.0,80.0,51.0,63.0,"RM, CAM"
J. Mascherano,Argentina,85,85,19500000.0,4,66.0,53.0,71.0,85.0,80.0,"CB, CDM"
Allan,Brazil,85,85,38000000.0,2,75.0,71.0,78.0,85.0,84.0,CM
N. Süle,Germany,85,90,46500000.0,2,72.0,42.0,55.0,86.0,82.0,CB
J. Giménez,Uruguay,85,89,45000000.0,2,69.0,45.0,52.0,86.0,82.0,CB
Xabi Alonso,Spain,85,85,11500000.0,4,48.0,70.0,87.0,77.0,71.0,"CDM, CM"
K. Manolas,Greece,85,86,37500000.0,3,82.0,25.0,42.0,86.0,81.0,CB
E. Džeko,Bosnia and Herzegovina,85,85,34500000.0,3,67.0,85.0,71.0,32.0,74.0,ST
M. Rashford,England,85,91,86500000.0,2,91.0,85.0,80.0,43.0,78.0,"LM, ST, RM"
Jorginho,Italy,85,85,52500000.0,2,55.0,67.0,86.0,73.0,73.0,CM
Diogo Jota,Portugal,85,89,78000000.0,2,85.0,83.0,75.0,57.0,78.0,"CF, LW"
Oyarzabal,Spain,85,88,73500000.0,2,82.0,82.0,81.0,41.0,63.0,"LW, RW"
A. Hakimi,Morocco,85,89,73000000.0,2,94.0,75.0,80.0,76.0,79.0,"RB, RWB"
K. Havertz,Germany,85,93,121000000.0,3,84.0,81.0,79.0,45.0,67.0,"CAM, RM, CF"
G. Wijnaldum,Netherlands,85,85,52500000.0,3,76.0,75.0,81.0,78.0,79.0,CM
Ricardo Pereira,Portugal,85,86,58000000.0,3,83.0,66.0,79.0,81.0,76.0,RB
W. Ndidi,Nigeria,85,88,66500000.0,1,67.0,62.0,68.0,87.0,84.0,"CDM, CM"
D. Alli,England,85,90,51500000.0,3,75.0,81.0,80.0,71.0,78.0,CAM
M. Mandžukić,Croatia,85,85,30500000.0,3,70.0,80.0,71.0,66.0,86.0,"ST, LW"
Y. Brahimi,Algeria,85,85,39000000.0,3,80.0,75.0,78.0,41.0,59.0,LM
K. Glik,Poland,85,85,30000000.0,3,56.0,32.0,44.0,86.0,84.0,CB
Morata,Spain,85,89,51000000.0,3,83.0,81.0,71.0,24.0,74.0,ST
Y. Carrasco,Belgium,85,90,51500000.0,3,88.0,79.0,78.0,29.0,63.0,"LM, RM"
J. Terry,England,85,85,10500000.0,3,34.0,47.0,57.0,87.0,81.0,CB
J. Pastore,Argentina,85,86,36500000.0,3,74.0,77.0,84.0,58.0,68.0,"CM, LW, RW"
Marco Asensio,Spain,85,93,56500000.0,3,82.0,84.0,83.0,43.0,60.0,"LW, CAM, RW"
S. Khedira,Germany,85,85,33000000.0,3,57.0,76.0,80.0,81.0,83.0,"CM, CDM"
M. Acuña,Argentina,85,85,46500000.0,2,76.0,74.0,83.0,80.0,83.0,LB
F. Kostić,Serbia,85,85,53000000.0,3,85.0,78.0,82.0,68.0,80.0,"LM, LW, LWB"
Dani Alves,Brazil,85,85,14000000.0,4,84.0,70.0,80.0,78.0,69.0,RB
P. Schick,Czech Republic,85,87,67500000.0,3,78.0,83.0,71.0,36.0,76.0,ST
M. Kovačić,Croatia,84,87,38500000.0,3,75.0,69.0,82.0,69.0,70.0,CM
J. Iličić,Slovenia,84,84,28000000.0,3,70.0,86.0,84.0,43.0,68.0,"CF, ST"
F. Acerbi,Italy,84,84,23000000.0,2,62.0,50.0,62.0,86.0,83.0,CB
W. Ben Yedder,France,84,84,32000000.0,2,84.0,82.0,77.0,39.0,61.0,ST
Jesús Navas,Spain,84,84,13000000.0,2,87.0,69.0,81.0,79.0,58.0,"RB, RM"
Felipe,Brazil,84,84,27500000.0,3,61.0,41.0,58.0,85.0,84.0,CB
M. Ginter,Germany,84,85,42500000.0,3,62.0,58.0,72.0,86.0,79.0,CB
J. Grealish,England,84,85,50500000.0,3,80.0,76.0,83.0,46.0,69.0,"LW, LM, CAM"
J. Matip,Cameroon,84,84,34500000.0,2,62.0,46.0,69.0,87.0,78.0,CB
Canales,Spain,84,84,35000000.0,2,83.0,79.0,85.0,68.0,72.0,"RM, CAM, LM"
M. Ødegaard,Norway,84,89,63500000.0,3,76.0,75.0,86.0,58.0,63.0,"CAM, CM"
L. Hernández,France,84,85,43500000.0,3,77.0,54.0,70.0,84.0,80.0,"CB, LB"
J. Maddison,England,84,85,50500000.0,1,73.0,81.0,85.0,54.0,63.0,"RM, CAM"
P. Højbjerg,Denmark,84,86,47000000.0,2,55.0,73.0,78.0,81.0,82.0,"CDM, CM"
Alex Telles,Brazil,84,86,31000000.0,3,85.0,71.0,83.0,80.0,77.0,LB
D. Tadić,Serbia,84,84,30000000.0,3,68.0,80.0,85.0,41.0,73.0,"CF, LW, CAM"
I. Gueye,Senegal,84,84,26500000.0,2,73.0,61.0,71.0,85.0,78.0,"CDM, CM"
Oscar,Brazil,84,84,32500000.0,3,77.0,79.0,83.0,58.0,64.0,"CAM, CM, LW"
J. Cuadrado,Colombia,84,84,29500000.0,3,91.0,74.0,77.0,66.0,69.0,"RM, RW"
Illarramendi,Spain,84,84,25000000.0,2,61.0,71.0,80.0,80.0,72.0,"CDM, CM"
José Callejón,Spain,84,84,27500000.0,3,89.0,78.0,75.0,47.0,65.0,"RW, RM"
O. Dembélé,France,84,92,46000000.0,3,93.0,79.0,79.0,36.0,59.0,"RW, LW"
J. Brandt,Germany,84,88,40500000.0,2,82.0,78.0,82.0,49.0,66.0,"CAM, CM, LM"
Felipe Anderson,Brazil,84,86,38000000.0,3,90.0,77.0,79.0,56.0,61.0,LM
É. Banega,Argentina,84,84,29000000.0,3,66.0,71.0,86.0,72.0,69.0,"CM, CDM, CAM"
Lucas Leiva,Brazil,84,84,21000000.0,3,67.0,66.0,76.0,83.0,75.0,CDM
Raúl Albiol,Spain,84,84,18000000.0,3,53.0,41.0,61.0,86.0,75.0,CB
Hulk,Brazil,84,84,27500000.0,3,85.0,87.0,81.0,43.0,86.0,"RM, RW, ST"
Ander Herrera,Spain,84,84,32000000.0,3,73.0,72.0,81.0,78.0,77.0,"CM, CDM"
K. Strootman,Netherlands,84,85,35000000.0,3,67.0,74.0,82.0,78.0,82.0,"CM, CDM"
Pedro,Spain,84,84,30500000.0,3,82.0,77.0,77.0,37.0,62.0,"RW, LW"
G. Cahill,England,84,84,21000000.0,3,63.0,58.0,52.0,84.0,78.0,CB
A. Martial,France,84,90,42500000.0,3,89.0,82.0,73.0,41.0,72.0,"LW, ST, LM"
E. Višća,Bosnia and Herzegovina,84,84,31500000.0,2,89.0,79.0,78.0,47.0,64.0,"RM, RW"
F. Thauvin,France,84,85,37000000.0,2,83.0,81.0,81.0,42.0,69.0,"RM, RW"
S. Mustafi,Germany,84,86,31500000.0,3,67.0,57.0,63.0,83.0,79.0,CB
J. Corona,Mexico,84,84,45000000.0,3,84.0,68.0,78.0,77.0,60.0,"RM, RB"
N. Tagliafico,Argentina,84,84,40500000.0,3,82.0,56.0,74.0,82.0,79.0,LB
Grimaldo,Spain,84,88,56000000.0,3,85.0,65.0,79.0,76.0,70.0,LB
T. Partey,Ghana,84,85,48000000.0,2,71.0,74.0,82.0,82.0,86.0,CM
R. Guerreiro,Portugal,84,85,49500000.0,3,74.0,77.0,84.0,75.0,57.0,"LM, LB, CM"
M. Sabitzer,Austria,84,86,52000000.0,3,80.0,83.0,81.0,67.0,78.0,"CM, CDM, CAM"
R. Jiménez,Mexico,84,84,42000000.0,3,78.0,82.0,76.0,49.0,83.0,ST
F. Kessié,Côte d'Ivoire,84,86,49500000.0,3,78.0,76.0,74.0,82.0,87.0,"CDM, CM, CAM"
L. Digne,France,84,85,45500000.0,2,78.0,69.0,80.0,80.0,76.0,LB
S. Savić,Montenegro,84,84,34500000.0,2,64.0,35.0,57.0,87.0,76.0,CB
F. Chiesa,Italy,84,90,66500000.0,3,91.0,81.0,75.0,48.0,73.0,"RW, LW, RM"
A. Davies,Canada,84,89,58500000.0,3,95.0,66.0,76.0,76.0,77.0,"LB, LM"
J. Draxler,Germany,84,87,39500000.0,3,78.0,80.0,82.0,52.0,64.0,"LW, CAM, LM, CM"
D. Zapata,Colombia,84,84,41500000.0,2,80.0,82.0,61.0,35.0,85.0,ST
K. Trippier,England,84,84,36500000.0,2,73.0,64.0,82.0,80.0,72.0,"RB, RM"
Fernando,Brazil,84,84,21000000.0,2,66.0,62.0,75.0,83.0,82.0,"CDM, CM, CB"
Muniain,Spain,84,84,42500000.0,2,81.0,76.0,82.0,51.0,61.0,"LM, CAM"
E. Bailly,Côte d'Ivoire,84,89,35500000.0,2,78.0,42.0,59.0,84.0,84.0,CB
T. Lemar,France,84,90,42500000.0,3,85.0,78.0,82.0,62.0,70.0,"LM, CAM"
Aduriz,Spain,84,84,11000000.0,3,71.0,83.0,65.0,46.0,81.0,ST
Jonas,Brazil,84,84,19500000.0,3,65.0,86.0,75.0,35.0,65.0,"ST, CF"
Bruno,Spain,84,84,18500000.0,3,41.0,72.0,79.0,78.0,77.0,"CM, CDM"
Quaresma,Portugal,84,84,15500000.0,3,83.0,74.0,82.0,24.0,62.0,"RM, LM"
D. Sánchez,Colombia,84,89,35500000.0,2,76.0,45.0,57.0,84.0,82.0,CB
William Carvalho,Portugal,84,86,31500000.0,3,51.0,55.0,79.0,82.0,84.0,"CDM, CM"
Sergi Roberto,Spain,84,87,31500000.0,3,78.0,63.0,81.0,80.0,71.0,"RB, RM"
Rodrigo,Spain,84,85,36500000.0,2,90.0,81.0,73.0,44.0,71.0,"ST, RW, LW"
João Moutinho,Portugal,84,84,23500000.0,3,56.0,75.0,86.0,72.0,66.0,CM
S. Kjær,Denmark,84,84,27500000.0,3,68.0,55.0,65.0,86.0,79.0,CB
André Silva,Portugal,84,85,53000000.0,2,73.0,85.0,70.0,47.0,77.0,ST
M. Dembélé,Belgium,84,84,29000000.0,3,72.0,70.0,77.0,78.0,82.0,"CM, CDM"
S. Nasri,France,84,84,23000000.0,3,79.0,76.0,83.0,39.0,60.0,"LM, RM"
K. Huntelaar,Netherlands,84,84,21000000.0,3,68.0,85.0,64.0,32.0,73.0,ST
A. Turan,Turkey,84,88,23000000.0,3,76.0,74.0,83.0,61.0,72.0,"LM, RM, CAM"
W. Sneijder,Netherlands,84,84,21000000.0,3,75.0,81.0,87.0,48.0,65.0,"CAM, CM, LM"
D. De Rossi,Italy,84,84,14500000.0,3,68.0,66.0,79.0,83.0,84.0,CDM
A. Pirlo,Italy,84,84,6000000.0,4,43.0,69.0,91.0,55.0,59.0,"CM, CDM"
G. Xhaka,Switzerland,84,87,36000000.0,3,51.0,66.0,81.0,72.0,77.0,CM
G. Krychowiak,Poland,84,86,28500000.0,3,70.0,58.0,73.0,81.0,87.0,CDM
B. Höwedes,Germany,84,84,23000000.0,3,65.0,47.0,63.0,84.0,78.0,"CB, RB, LB"
